query,BASE_time,FORCED_pair_time,FORCED_geqo_time,GEQO_time,BASE_cost,FORCED_pair_cost,FORCED_geqo_cost,GEQO_cost
1.sql,39.544,33.237,35.443,35.599,3767.97,3767.99,3767.97,3767.97
10.sql,8124.253,8588.483,8184.598,8113.622,58818.46,44069.05,58818.46,58818.46
14.sql,118.299,106.155,103.144,102.428,27788.76,27615.4,27788.76,27788.76
15.sql,7066.226,7084.925,7078.489,7096.986,43047.4,40233.52,43047.4,43047.4
16.sql,5587.969,5920.902,5570.782,5641.556,52770.31,38746.77,52770.31,52770.31
18.sql,6277.499,5810.976,6292.307,6366.66,43617.49,40323.21,43617.49,43617.49
2.sql,36.706,30.644,32.051,32.005,3765.47,3765.49,3765.47,3765.47
22.sql,17936.511,17314.15,17695.744,17501.04,75401.08,73989.49,75401.08,75401.08
24.sql,25541.02,25544.2,25742.104,25324.336,77852.1,81018.83,77852.1,77852.1
26.sql,833.165,650.707,816.426,815.23,14646.33,14647.55,14646.33,14646.33
27.sql,12911.483,13222.836,13408.916,13457.807,3853.67,3806.99,3853.67,3853.67
28.sql,2039.135,2000.849,1994.324,1995.503,38587.93,38588.61,38587.93,38587.93
3.sql,48.134,32.72,37.09,36.753,3768.39,3768.41,3768.39,3768.39
30.sql,12297.019,12252.488,12832.469,12166.353,3853.67,3806.99,3853.67,3853.67
4.sql,71.366,35.147,35.961,35.659,3768.39,3768.41,3768.39,3768.39
6.sql,37.719,30.59,33.836,33.688,3767.76,3767.78,3767.76,3767.76
7.sql,54.806,30.353,33.783,33.56,3767.76,3767.78,3767.76,3767.76
11.sql,10724.726,7149.218,10707.625,10726.784,36485.42,36497.24,36485.42,36485.42
12.sql,8872.09,4966.049,8821.655,8793.569,33117.73,36084.25,33117.73,33117.73
13.sql,939.435,718.698,915.162,927.865,25002.3,25002.3,25002.3,25002.3
17.sql,6597.727,2939.717,6545.651,6601.832,159100.99,159115.92,159100.99,159100.99
19.sql,6138.423,5790.045,6695.145,6099.597,81096.56,81044.15,81096.56,81096.56
20.sql,294.887,682.494,858.385,856.681,7452.27,7458.28,7452.27,7452.27
21.sql,5843.65,6370.742,5869.319,5850.639,69278.18,69278.26,69278.18,69278.18
23.sql,9331.957,3512.203,9497.402,9070.82,28373.9,28603.64,28373.9,28373.9
25.sql,5833.631,3979.941,5824.031,5857.865,34651.62,37660.07,34651.62,34651.62
29.sql,6172.771,4975.935,6129.134,6180.498,29528.71,32764.1,29528.71,29528.71
5.sql,11316.824,10908.992,11314.008,11348.661,16713.72,16713.91,16713.72,16713.72
8.sql,516.438,484.197,502.859,511.175,69059.98,69059.98,69059.98,69059.98
9.sql,692.264,1087.177,1111.565,1125.295,7452.08,7452.15,7452.08,7452.08